dataset,fold,method,noise_levels,instance_level,accuracy,kappa
tic-tac-toe,Fold_5,mlpML,0.1,0.2,0.994764397905759,0.988295851461487
tic-tac-toe,Fold_5,mlpML,0.1,0.25,0.984293193717278,0.96488755438445994
tic-tac-toe,Fold_5,mlpML,0.1,0.3,0.984293193717278,0.96488755438445994
tic-tac-toe,Fold_5,mlpML,0.1,0.4,0.984293193717278,0.96488755438445994
tic-tac-toe,Fold_5,mlpML,0.1,0.5,0.979057591623037,0.953357753357753
tic-tac-toe,Fold_5,mlpML,0.1,0.6,0.973821989528796,0.94191350891065
tic-tac-toe,Fold_5,mlpML,0.1,0.7,0.973821989528796,0.94191350891065
tic-tac-toe,Fold_5,mlpML,0.1,0.75,0.968586387434555,0.93003663003663
tic-tac-toe,Fold_5,mlpML,0.1,0.8,0.968586387434555,0.93003663003663
tic-tac-toe,Fold_5,mlpML,0.1,0.9,0.958115183246073,0.907405163010544
tic-tac-toe,Fold_5,mlpML,0.1,1,0.958115183246073,0.907405163010544
tic-tac-toe,Fold_5,mlpML,0.2,0.1,0.994764397905759,0.988544353145805
tic-tac-toe,Fold_5,mlpML,0.2,0.2,0.968586387434555,0.931500298864316
tic-tac-toe,Fold_5,mlpML,0.2,0.25,0.963350785340314,0.919810472020632
tic-tac-toe,Fold_5,mlpML,0.2,0.3,0.963350785340314,0.919810472020632
tic-tac-toe,Fold_5,mlpML,0.2,0.4,0.947643979057592,0.885833831440526
tic-tac-toe,Fold_5,mlpML,0.2,0.5,0.931937172774869,0.853085616235726
tic-tac-toe,Fold_5,mlpML,0.2,0.6,0.921465968586387,0.829332221361768
tic-tac-toe,Fold_5,mlpML,0.2,0.7,0.921465968586387,0.829332221361768
tic-tac-toe,Fold_5,mlpML,0.2,0.75,0.921465968586387,0.829332221361768
tic-tac-toe,Fold_5,mlpML,0.2,0.8,0.921465968586387,0.829332221361768
tic-tac-toe,Fold_5,mlpML,0.2,0.9,0.921465968586387,0.829332221361768
tic-tac-toe,Fold_5,mlpML,0.2,1,0.916230366492147,0.818570410828782
tic-tac-toe,Fold_5,mlpML,0.3,0.1,0.989528795811518,0.976681723843243
tic-tac-toe,Fold_5,mlpML,0.3,0.2,0.979057591623037,0.953363447686485
tic-tac-toe,Fold_5,mlpML,0.3,0.25,0.979057591623037,0.953363447686485
tic-tac-toe,Fold_5,mlpML,0.3,0.3,0.979057591623037,0.953363447686485
tic-tac-toe,Fold_5,mlpML,0.3,0.4,0.963350785340314,0.91867891247491
tic-tac-toe,Fold_5,mlpML,0.3,0.5,0.952879581151832,0.896189383416873
tic-tac-toe,Fold_5,mlpML,0.3,0.6,0.93717277486911,0.861090909090909
tic-tac-toe,Fold_5,mlpML,0.3,0.7,0.921465968586387,0.826982305694788
tic-tac-toe,Fold_5,mlpML,0.3,0.75,0.910994764397906,0.802505930296211
tic-tac-toe,Fold_5,mlpML,0.3,0.8,0.910994764397906,0.802505930296211
tic-tac-toe,Fold_5,mlpML,0.3,0.9,0.890052356020942,0.757775227972704
tic-tac-toe,Fold_5,mlpML,0.3,1,0.879581151832461,0.736583318342628
tic-tac-toe,Fold_1,multinom,0.1,0.1,0.989637305699482,0.976030799801291
tic-tac-toe,Fold_1,multinom,0.1,0.2,0.989637305699482,0.976030799801291
tic-tac-toe,Fold_1,multinom,0.1,0.25,0.989637305699482,0.976030799801291
tic-tac-toe,Fold_1,multinom,0.1,0.3,0.989637305699482,0.976030799801291
tic-tac-toe,Fold_1,multinom,0.1,0.4,0.974093264248705,0.940340030911901
tic-tac-toe,Fold_1,multinom,0.1,0.5,0.974093264248705,0.940340030911901
tic-tac-toe,Fold_1,multinom,0.1,0.6,0.974093264248705,0.940340030911901
tic-tac-toe,Fold_1,multinom,0.1,0.7,0.968911917098446,0.928720915917764
tic-tac-toe,Fold_1,multinom,0.1,0.75,0.968911917098446,0.928720915917764
tic-tac-toe,Fold_1,multinom,0.1,0.8,0.963730569948187,0.917202917202917
tic-tac-toe,Fold_1,multinom,0.1,0.9,0.953367875647668,0.894465034327723
tic-tac-toe,Fold_1,multinom,0.1,1,0.94300518134715,0.872116137582073
tic-tac-toe,Fold_1,multinom,0.2,0.1,0.989637305699482,0.976030799801291
tic-tac-toe,Fold_1,multinom,0.2,0.2,0.979274611398964,0.952061599602583
tic-tac-toe,Fold_1,multinom,0.2,0.25,0.979274611398964,0.952061599602583
tic-tac-toe,Fold_1,multinom,0.2,0.3,0.968911917098446,0.928092399403875
tic-tac-toe,Fold_1,multinom,0.2,0.4,0.958549222797927,0.904961221223686
tic-tac-toe,Fold_1,multinom,0.2,0.5,0.948186528497409,0.881201526529607
tic-tac-toe,Fold_1,multinom,0.2,0.6,0.937823834196891,0.857441831835529
tic-tac-toe,Fold_1,multinom,0.2,0.7,0.927461139896373,0.835123260922626
tic-tac-toe,Fold_1,multinom,0.2,0.75,0.922279792746114,0.824108390546206
tic-tac-toe,Fold_1,multinom,0.2,0.8,0.911917098445596,0.800656175952366
tic-tac-toe,Fold_1,multinom,0.2,0.9,0.906735751295337,0.78983666061706
tic-tac-toe,Fold_1,multinom,0.2,1,0.901554404145078,0.779109692187218
tic-tac-toe,Fold_1,multinom,0.3,0.1,0.994818652849741,0.987962327699121
tic-tac-toe,Fold_1,multinom,0.3,0.2,0.979274611398964,0.952480610611843
tic-tac-toe,Fold_1,multinom,0.3,0.25,0.974093264248705,0.940859226573512
tic-tac-toe,Fold_1,multinom,0.3,0.3,0.974093264248705,0.940859226573512
tic-tac-toe,Fold_1,multinom,0.3,0.4,0.974093264248705,0.940859226573512
tic-tac-toe,Fold_1,multinom,0.3,0.5,0.958549222797927,0.90659407138536
tic-tac-toe,Fold_1,multinom,0.3,0.6,0.953367875647668,0.895367748930787
tic-tac-toe,Fold_1,multinom,0.3,0.7,0.948186528497409,0.884237044145873
tic-tac-toe,Fold_1,multinom,0.3,0.75,0.948186528497409,0.884237044145873
tic-tac-toe,Fold_1,multinom,0.3,0.8,0.948186528497409,0.884237044145873
tic-tac-toe,Fold_1,multinom,0.3,0.9,0.922279792746114,0.829975920596699
tic-tac-toe,Fold_1,multinom,0.3,1,0.917098445595855,0.819394081179085
tic-tac-toe,Fold_2,multinom,0.1,0.1,1,1
tic-tac-toe,Fold_2,multinom,0.1,0.2,0.994764397905759,0.988295851461487
tic-tac-toe,Fold_2,multinom,0.1,0.25,0.994764397905759,0.988295851461487
tic-tac-toe,Fold_2,multinom,0.1,0.3,0.994764397905759,0.988295851461487
tic-tac-toe,Fold_2,multinom,0.1,0.4,0.984293193717278,0.96514810534639
tic-tac-toe,Fold_2,multinom,0.1,0.5,0.979057591623037,0.953702581505272
tic-tac-toe,Fold_2,multinom,0.1,0.6,0.979057591623037,0.953702581505272
tic-tac-toe,Fold_2,multinom,0.1,0.7,0.979057591623037,0.953702581505272
tic-tac-toe,Fold_2,multinom,0.1,0.75,0.979057591623037,0.953702581505272
tic-tac-toe,Fold_2,multinom,0.1,0.8,0.979057591623037,0.953702581505272
tic-tac-toe,Fold_2,multinom,0.1,0.9,0.973821989528796,0.942341363279599
tic-tac-toe,Fold_2,multinom,0.1,1,0.968586387434555,0.931063522617902
tic-tac-toe,Fold_2,multinom,0.2,0.1,0.994764397905759,0.98838270178213
tic-tac-toe,Fold_2,multinom,0.2,0.2,0.989528795811518,0.976678876678877
tic-tac-toe,Fold_2,multinom,0.2,0.25,0.989528795811518,0.976678876678877
tic-tac-toe,Fold_2,multinom,0.2,0.3,0.989528795811518,0.976678876678877
tic-tac-toe,Fold_2,multinom,0.2,0.4,0.984293193717278,0.96514810534639
tic-tac-toe,Fold_2,multinom,0.2,0.5,0.973821989528796,0.942341363279599
tic-tac-toe,Fold_2,multinom,0.2,0.6,0.963350785340314,0.919277908591439
tic-tac-toe,Fold_2,multinom,0.2,0.7,0.952879581151832,0.896214453903278
tic-tac-toe,Fold_2,multinom,0.2,0.75,0.947643979057592,0.88425645376318
tic-tac-toe,Fold_2,multinom,0.2,0.8,0.93717277486911,0.861107744515816
tic-tac-toe,Fold_2,multinom,0.2,0.9,0.93717277486911,0.861107744515816
tic-tac-toe,Fold_2,multinom,0.2,1,0.926701570680628,0.839148219441771
tic-tac-toe,Fold_2,multinom,0.3,0.1,0.989528795811518,0.976851290752636
tic-tac-toe,Fold_2,multinom,0.3,0.2,0.989528795811518,0.976851290752636
tic-tac-toe,Fold_2,multinom,0.3,0.25,0.989528795811518,0.976851290752636
tic-tac-toe,Fold_2,multinom,0.3,0.3,0.989528795811518,0.976851290752636
tic-tac-toe,Fold_2,multinom,0.3,0.4,0.984293193717278,0.96540481796776
tic-tac-toe,Fold_2,multinom,0.3,0.5,0.958115183246073,0.908754329392094
tic-tac-toe,Fold_2,multinom,0.3,0.6,0.947643979057592,0.886767844439175
tic-tac-toe,Fold_2,multinom,0.3,0.7,0.931937172774869,0.851183697932274
tic-tac-toe,Fold_2,multinom,0.3,0.75,0.926701570680628,0.840320076436164
tic-tac-toe,Fold_2,multinom,0.3,0.8,0.921465968586387,0.829535312667341
tic-tac-toe,Fold_2,multinom,0.3,0.9,0.905759162303665,0.794697241132211
tic-tac-toe,Fold_2,multinom,0.3,1,0.900523560209424,0.784078062711965
tic-tac-toe,Fold_3,multinom,0.1,0.1,0.994764397905759,0.988009291229832
tic-tac-toe,Fold_3,multinom,0.1,0.2,0.973821989528796,0.940561399141097
tic-tac-toe,Fold_3,multinom,0.1,0.25,0.973821989528796,0.940561399141097
tic-tac-toe,Fold_3,multinom,0.1,0.3,0.968586387434555,0.928978681209717
tic-tac-toe,Fold_3,multinom,0.1,0.4,0.963350785340314,0.916785958797535
tic-tac-toe,Fold_3,multinom,0.1,0.5,0.963350785340314,0.916785958797535
tic-tac-toe,Fold_3,multinom,0.1,0.6,0.952879581151832,0.893010518453974
tic-tac-toe,Fold_3,multinom,0.1,0.7,0.947643979057592,0.881631135349529
tic-tac-toe,Fold_3,multinom,0.1,0.75,0.947643979057592,0.881631135349529
tic-tac-toe,Fold_3,multinom,0.1,0.8,0.947643979057592,0.881631135349529
tic-tac-toe,Fold_3,multinom,0.1,0.9,0.947643979057592,0.881631135349529
tic-tac-toe,Fold_3,multinom,0.1,1,0.947643979057592,0.881631135349529
tic-tac-toe,Fold_3,multinom,0.2,0.1,0.994764397905759,0.988009291229832
tic-tac-toe,Fold_3,multinom,0.2,0.2,0.979057591623037,0.952652454139812
tic-tac-toe,Fold_3,multinom,0.2,0.25,0.979057591623037,0.952652454139812
tic-tac-toe,Fold_3,multinom,0.2,0.3,0.973821989528796,0.941067571737118
tic-tac-toe,Fold_3,multinom,0.2,0.4,0.968586387434555,0.928978681209717
tic-tac-toe,Fold_3,multinom,0.2,0.5,0.968586387434555,0.928978681209717
tic-tac-toe,Fold_3,multinom,0.2,0.6,0.963350785340314,0.917494600431966
tic-tac-toe,Fold_3,multinom,0.2,0.7,0.958115183246073,0.906107902175249
tic-tac-toe,Fold_3,multinom,0.2,0.75,0.952879581151832,0.89392162912681306
tic-tac-toe,Fold_3,multinom,0.2,0.8,0.952879581151832,0.89392162912681306
tic-tac-toe,Fold_3,multinom,0.2,0.9,0.947643979057592,0.881631135349529
tic-tac-toe,Fold_3,multinom,0.2,1,0.942408376963351,0.87034865782166
tic-tac-toe,Fold_3,multinom,0.3,0.1,1,1
tic-tac-toe,Fold_3,multinom,0.3,0.2,0.989528795811518,0.976122015251906
tic-tac-toe,Fold_3,multinom,0.3,0.25,0.979057591623037,0.952652454139812
tic-tac-toe,Fold_3,multinom,0.3,0.3,0.973821989528796,0.941067571737118
tic-tac-toe,Fold_3,multinom,0.3,0.4,0.958115183246073,0.905304908279623
tic-tac-toe,Fold_3,multinom,0.3,0.5,0.926701570680628,0.83139974779319
tic-tac-toe,Fold_3,multinom,0.3,0.6,0.916230366492147,0.808976122015252
tic-tac-toe,Fold_3,multinom,0.3,0.7,0.916230366492147,0.808976122015252
tic-tac-toe,Fold_3,multinom,0.3,0.75,0.910994764397906,0.79615795090715
tic-tac-toe,Fold_3,multinom,0.3,0.8,0.900523560209424,0.772176533366815
tic-tac-toe,Fold_3,multinom,0.3,0.9,0.900523560209424,0.772176533366815
tic-tac-toe,Fold_3,multinom,0.3,1,0.895287958115183,0.759142496847415
tic-tac-toe,Fold_4,multinom,0.1,0.1,1,1
tic-tac-toe,Fold_4,multinom,0.1,0.2,1,1
tic-tac-toe,Fold_4,multinom,0.1,0.25,1,1
tic-tac-toe,Fold_4,multinom,0.1,0.3,1,1
tic-tac-toe,Fold_4,multinom,0.1,0.4,1,1
tic-tac-toe,Fold_4,multinom,0.1,0.5,1,1
tic-tac-toe,Fold_4,multinom,0.1,0.6,0.994791666666667,0.988326848249027
tic-tac-toe,Fold_4,multinom,0.1,0.7,0.994791666666667,0.988326848249027
tic-tac-toe,Fold_4,multinom,0.1,0.75,0.994791666666667,0.988326848249027
tic-tac-toe,Fold_4,multinom,0.1,0.8,0.994791666666667,0.988326848249027
tic-tac-toe,Fold_4,multinom,0.1,0.9,0.979166666666667,0.953125
tic-tac-toe,Fold_4,multinom,0.1,1,0.979166666666667,0.953125
tic-tac-toe,Fold_4,multinom,0.2,0.1,1,1
tic-tac-toe,Fold_4,multinom,0.2,0.2,0.984375,0.964980544747082
tic-tac-toe,Fold_4,multinom,0.2,0.25,0.984375,0.964980544747082
tic-tac-toe,Fold_4,multinom,0.2,0.3,0.984375,0.964980544747082
tic-tac-toe,Fold_4,multinom,0.2,0.4,0.979166666666667,0.953125
tic-tac-toe,Fold_4,multinom,0.2,0.5,0.979166666666667,0.953125
tic-tac-toe,Fold_4,multinom,0.2,0.6,0.973958333333333,0.941634241245136
tic-tac-toe,Fold_4,multinom,0.2,0.7,0.973958333333333,0.941634241245136
tic-tac-toe,Fold_4,multinom,0.2,0.75,0.96875,0.9296875
tic-tac-toe,Fold_4,multinom,0.2,0.8,0.963541666666667,0.918287937743191
tic-tac-toe,Fold_4,multinom,0.2,0.9,0.958333333333333,0.906976744186047
tic-tac-toe,Fold_4,multinom,0.2,1,0.953125,0.895752895752896
tic-tac-toe,Fold_4,multinom,0.3,0.1,1,1
tic-tac-toe,Fold_4,multinom,0.3,0.2,0.984375,0.965250965250965
tic-tac-toe,Fold_4,multinom,0.3,0.25,0.979166666666667,0.953846153846154
tic-tac-toe,Fold_4,multinom,0.3,0.3,0.96875,0.931297709923664
tic-tac-toe,Fold_4,multinom,0.3,0.4,0.963541666666667,0.919540229885057
tic-tac-toe,Fold_4,multinom,0.3,0.5,0.958333333333333,0.908396946564886
tic-tac-toe,Fold_4,multinom,0.3,0.6,0.947916666666667,0.885496183206107
tic-tac-toe,Fold_4,multinom,0.3,0.7,0.927083333333333,0.840909090909091
tic-tac-toe,Fold_4,multinom,0.3,0.75,0.927083333333333,0.840909090909091
tic-tac-toe,Fold_4,multinom,0.3,0.8,0.916666666666667,0.819548872180451
tic-tac-toe,Fold_4,multinom,0.3,0.9,0.90625,0.798507462686567
tic-tac-toe,Fold_4,multinom,0.3,1,0.890625,0.767527675276753
tic-tac-toe,Fold_5,multinom,0.1,0.1,0.994764397905759,0.98838270178213
tic-tac-toe,Fold_5,multinom,0.1,0.2,0.989528795811518,0.976848484848485
tic-tac-toe,Fold_5,multinom,0.1,0.25,0.989528795811518,0.976848484848485
tic-tac-toe,Fold_5,multinom,0.1,0.3,0.989528795811518,0.976848484848485
tic-tac-toe,Fold_5,multinom,0.1,0.4,0.984293193717278,0.965396461138958
tic-tac-toe,Fold_5,multinom,0.1,0.5,0.973821989528796,0.942327435231596
tic-tac-toe,Fold_5,multinom,0.1,0.6,0.968586387434555,0.931038632807799
tic-tac-toe,Fold_5,multinom,0.1,0.7,0.958115183246073,0.908051510410398
tic-tac-toe,Fold_5,multinom,0.1,0.75,0.958115183246073,0.908051510410398
tic-tac-toe,Fold_5,multinom,0.1,0.8,0.958115183246073,0.908051510410398
tic-tac-toe,Fold_5,multinom,0.1,0.9,0.958115183246073,0.908051510410398
tic-tac-toe,Fold_5,multinom,0.1,1,0.958115183246073,0.908051510410398
tic-tac-toe,Fold_5,multinom,0.2,0.1,0.989528795811518,0.976503875015377
tic-tac-toe,Fold_5,multinom,0.2,0.2,0.979057591623037,0.952652454139812
tic-tac-toe,Fold_5,multinom,0.2,0.25,0.979057591623037,0.952652454139812
tic-tac-toe,Fold_5,multinom,0.2,0.3,0.973821989528796,0.94103846391307
tic-tac-toe,Fold_5,multinom,0.2,0.4,0.973821989528796,0.94103846391307
tic-tac-toe,Fold_5,multinom,0.2,0.5,0.963350785340314,0.918070960230406
tic-tac-toe,Fold_5,multinom,0.2,0.6,0.963350785340314,0.918070960230406
tic-tac-toe,Fold_5,multinom,0.2,0.7,0.952879581151832,0.89544431603917
tic-tac-toe,Fold_5,multinom,0.2,0.75,0.952879581151832,0.89544431603917
tic-tac-toe,Fold_5,multinom,0.2,0.8,0.952879581151832,0.89544431603917
tic-tac-toe,Fold_5,multinom,0.2,0.9,0.931937172774869,0.848975123167691
tic-tac-toe,Fold_5,multinom,0.2,1,0.916230366492147,0.816169393647738
tic-tac-toe,Fold_5,multinom,0.3,0.1,0.979057591623037,0.953363447686485
tic-tac-toe,Fold_5,multinom,0.3,0.2,0.979057591623037,0.953363447686485
tic-tac-toe,Fold_5,multinom,0.3,0.25,0.973821989528796,0.941927637579812
tic-tac-toe,Fold_5,multinom,0.3,0.3,0.963350785340314,0.918698692611736
tic-tac-toe,Fold_5,multinom,0.3,0.4,0.963350785340314,0.918698692611736
tic-tac-toe,Fold_5,multinom,0.3,0.5,0.947643979057592,0.884298521928762
tic-tac-toe,Fold_5,multinom,0.3,0.6,0.931937172774869,0.84901185770751
tic-tac-toe,Fold_5,multinom,0.3,0.7,0.916230366492147,0.813453790745941
tic-tac-toe,Fold_5,multinom,0.3,0.75,0.916230366492147,0.813453790745941
tic-tac-toe,Fold_5,multinom,0.3,0.8,0.905759162303665,0.791737339471771
tic-tac-toe,Fold_5,multinom,0.3,0.9,0.890052356020942,0.757950636654396
tic-tac-toe,Fold_5,multinom,0.3,1,0.879581151832461,0.732867132867133
tic-tac-toe,Fold_1,naive_bayes,0.1,0.1,0.989637305699482,0.974846865632738
tic-tac-toe,Fold_1,naive_bayes,0.1,0.2,0.979274611398964,0.949693731265476
tic-tac-toe,Fold_1,naive_bayes,0.1,0.25,0.979274611398964,0.949693731265476
tic-tac-toe,Fold_1,naive_bayes,0.1,0.3,0.974093264248705,0.937455441052563
tic-tac-toe,Fold_1,naive_bayes,0.1,0.4,0.974093264248705,0.937455441052563
tic-tac-toe,Fold_1,naive_bayes,0.1,0.5,0.974093264248705,0.937455441052563
tic-tac-toe,Fold_1,naive_bayes,0.1,0.6,0.974093264248705,0.937455441052563
tic-tac-toe,Fold_1,naive_bayes,0.1,0.7,0.974093264248705,0.937455441052563
tic-tac-toe,Fold_1,naive_bayes,0.1,0.75,0.963730569948187,0.912437617473589
tic-tac-toe,Fold_1,naive_bayes,0.1,0.8,0.963730569948187,0.912437617473589
tic-tac-toe,Fold_1,naive_bayes,0.1,0.9,0.963730569948187,0.912437617473589
tic-tac-toe,Fold_1,naive_bayes,0.1,1,0.963730569948187,0.912437617473589
tic-tac-toe,Fold_1,naive_bayes,0.2,0.1,0.989637305699482,0.973349903341618
tic-tac-toe,Fold_1,naive_bayes,0.2,0.2,0.989637305699482,0.973349903341618
tic-tac-toe,Fold_1,naive_bayes,0.2,0.25,0.989637305699482,0.973349903341618
tic-tac-toe,Fold_1,naive_bayes,0.2,0.3,0.984455958549223,0.960274442538593
tic-tac-toe,Fold_1,naive_bayes,0.2,0.4,0.979274611398964,0.946699806683237
tic-tac-toe,Fold_1,naive_bayes,0.2,0.5,0.979274611398964,0.946699806683237
tic-tac-toe,Fold_1,naive_bayes,0.2,0.6,0.963730569948187,0.90845022701091
tic-tac-toe,Fold_1,naive_bayes,0.2,0.7,0.958549222797927,0.896012931034483
tic-tac-toe,Fold_1,naive_bayes,0.2,0.75,0.958549222797927,0.896012931034483
tic-tac-toe,Fold_1,naive_bayes,0.2,0.8,0.958549222797927,0.896012931034483
tic-tac-toe,Fold_1,naive_bayes,0.2,0.9,0.953367875647668,0.883727157105562
tic-tac-toe,Fold_1,naive_bayes,0.2,1,0.948186528497409,0.870016163793104
tic-tac-toe,Fold_1,naive_bayes,0.3,0.1,1,1
tic-tac-toe,Fold_1,naive_bayes,0.3,0.2,1,1
tic-tac-toe,Fold_1,naive_bayes,0.3,0.25,1,1
tic-tac-toe,Fold_1,naive_bayes,0.3,0.3,1,1
tic-tac-toe,Fold_1,naive_bayes,0.3,0.4,1,1
tic-tac-toe,Fold_1,naive_bayes,0.3,0.5,1,1
tic-tac-toe,Fold_1,naive_bayes,0.3,0.6,1,1
tic-tac-toe,Fold_1,naive_bayes,0.3,0.7,1,1
tic-tac-toe,Fold_1,naive_bayes,0.3,0.75,1,1
tic-tac-toe,Fold_1,naive_bayes,0.3,0.8,1,1
tic-tac-toe,Fold_1,naive_bayes,0.3,0.9,1,1
tic-tac-toe,Fold_1,naive_bayes,0.3,1,1,1
tic-tac-toe,Fold_2,naive_bayes,0.1,0.1,1,1
tic-tac-toe,Fold_2,naive_bayes,0.1,0.2,0.994764397905759,0.98838270178213
tic-tac-toe,Fold_2,naive_bayes,0.1,0.25,0.994764397905759,0.98838270178213
tic-tac-toe,Fold_2,naive_bayes,0.1,0.3,0.994764397905759,0.98838270178213
tic-tac-toe,Fold_2,naive_bayes,0.1,0.4,0.989528795811518,0.976848484848485
tic-tac-toe,Fold_2,naive_bayes,0.1,0.5,0.989528795811518,0.976848484848485
tic-tac-toe,Fold_2,naive_bayes,0.1,0.6,0.984293193717278,0.965396461138958
tic-tac-toe,Fold_2,naive_bayes,0.1,0.7,0.979057591623037,0.95369696969697
tic-tac-toe,Fold_2,naive_bayes,0.1,0.75,0.979057591623037,0.95369696969697
tic-tac-toe,Fold_2,naive_bayes,0.1,0.8,0.973821989528796,0.94191350891065
tic-tac-toe,Fold_2,naive_bayes,0.1,0.9,0.973821989528796,0.94191350891065
tic-tac-toe,Fold_2,naive_bayes,0.1,1,0.968586387434555,0.930545454545454
tic-tac-toe,Fold_2,naive_bayes,0.2,0.1,0.989528795811518,0.976314484126984
tic-tac-toe,Fold_2,naive_bayes,0.2,0.2,0.984293193717278,0.964614339529426
tic-tac-toe,Fold_2,naive_bayes,0.2,0.25,0.984293193717278,0.964614339529426
tic-tac-toe,Fold_2,naive_bayes,0.2,0.3,0.979057591623037,0.952628968253968
tic-tac-toe,Fold_2,naive_bayes,0.2,0.4,0.973821989528796,0.941023899215711
tic-tac-toe,Fold_2,naive_bayes,0.2,0.5,0.968586387434555,0.929511625046131
tic-tac-toe,Fold_2,naive_bayes,0.2,0.6,0.963350785340314,0.918091037186792
tic-tac-toe,Fold_2,naive_bayes,0.2,0.7,0.963350785340314,0.918091037186792
tic-tac-toe,Fold_2,naive_bayes,0.2,0.75,0.963350785340314,0.918091037186792
tic-tac-toe,Fold_2,naive_bayes,0.2,0.8,0.963350785340314,0.918091037186792
tic-tac-toe,Fold_2,naive_bayes,0.2,0.9,0.958115183246073,0.906761044666829
tic-tac-toe,Fold_2,naive_bayes,0.2,1,0.958115183246073,0.906761044666829
tic-tac-toe,Fold_2,naive_bayes,0.3,0.1,1,1
tic-tac-toe,Fold_2,naive_bayes,0.3,0.2,1,1
tic-tac-toe,Fold_2,naive_bayes,0.3,0.25,1,1
tic-tac-toe,Fold_2,naive_bayes,0.3,0.3,1,1
tic-tac-toe,Fold_2,naive_bayes,0.3,0.4,1,1
tic-tac-toe,Fold_2,naive_bayes,0.3,0.5,1,1
tic-tac-toe,Fold_2,naive_bayes,0.3,0.6,1,1
tic-tac-toe,Fold_2,naive_bayes,0.3,0.7,1,1
tic-tac-toe,Fold_2,naive_bayes,0.3,0.75,1,1
tic-tac-toe,Fold_2,naive_bayes,0.3,0.8,1,1
tic-tac-toe,Fold_2,naive_bayes,0.3,0.9,1,1
tic-tac-toe,Fold_2,naive_bayes,0.3,1,1,1
tic-tac-toe,Fold_3,naive_bayes,0.1,0.1,1,1
tic-tac-toe,Fold_3,naive_bayes,0.1,0.2,1,1
tic-tac-toe,Fold_3,naive_bayes,0.1,0.25,1,1
tic-tac-toe,Fold_3,naive_bayes,0.1,0.3,1,1
tic-tac-toe,Fold_3,naive_bayes,0.1,0.4,1,1
tic-tac-toe,Fold_3,naive_bayes,0.1,0.5,1,1
tic-tac-toe,Fold_3,naive_bayes,0.1,0.6,1,1
tic-tac-toe,Fold_3,naive_bayes,0.1,0.7,1,1
tic-tac-toe,Fold_3,naive_bayes,0.1,0.75,1,1
tic-tac-toe,Fold_3,naive_bayes,0.1,0.8,1,1
tic-tac-toe,Fold_3,naive_bayes,0.1,0.9,1,1
tic-tac-toe,Fold_3,naive_bayes,0.1,1,1,1
tic-tac-toe,Fold_3,naive_bayes,0.2,0.1,1,1
tic-tac-toe,Fold_3,naive_bayes,0.2,0.2,1,1
tic-tac-toe,Fold_3,naive_bayes,0.2,0.25,1,1
tic-tac-toe,Fold_3,naive_bayes,0.2,0.3,1,1
tic-tac-toe,Fold_3,naive_bayes,0.2,0.4,1,1
tic-tac-toe,Fold_3,naive_bayes,0.2,0.5,1,1
tic-tac-toe,Fold_3,naive_bayes,0.2,0.6,1,1
tic-tac-toe,Fold_3,naive_bayes,0.2,0.7,1,1
tic-tac-toe,Fold_3,naive_bayes,0.2,0.75,1,1
tic-tac-toe,Fold_3,naive_bayes,0.2,0.8,1,1
tic-tac-toe,Fold_3,naive_bayes,0.2,0.9,0.994764397905759,0.854531607006856
tic-tac-toe,Fold_3,naive_bayes,0.2,1,0.994764397905759,0.854531607006856
tic-tac-toe,Fold_3,naive_bayes,0.3,0.1,0.994764397905759,0.986365907630809
tic-tac-toe,Fold_3,naive_bayes,0.3,0.2,0.989528795811518,0.97290780141844
tic-tac-toe,Fold_3,naive_bayes,0.3,0.25,0.984293193717278,0.959097722892426
tic-tac-toe,Fold_3,naive_bayes,0.3,0.3,0.973821989528796,0.931829538154044
tic-tac-toe,Fold_3,naive_bayes,0.3,0.4,0.958115183246073,0.893012183167623
tic-tac-toe,Fold_3,naive_bayes,0.3,0.5,0.952879581151832,0.880400751408892
tic-tac-toe,Fold_3,naive_bayes,0.3,0.6,0.93717277486911,0.843506759524785
tic-tac-toe,Fold_3,naive_bayes,0.3,0.7,0.93717277486911,0.843506759524785
tic-tac-toe,Fold_3,naive_bayes,0.3,0.75,0.93717277486911,0.843506759524785
tic-tac-toe,Fold_3,naive_bayes,0.3,0.8,0.931937172774869,0.829405702507729
tic-tac-toe,Fold_3,naive_bayes,0.3,0.9,0.916230366492147,0.788716814159292
tic-tac-toe,Fold_3,naive_bayes,0.3,1,0.910994764397906,0.776915149433184
tic-tac-toe,Fold_4,naive_bayes,0.1,0.1,1,1
tic-tac-toe,Fold_4,naive_bayes,0.1,0.2,1,1
tic-tac-toe,Fold_4,naive_bayes,0.1,0.25,1,1
tic-tac-toe,Fold_4,naive_bayes,0.1,0.3,1,1
tic-tac-toe,Fold_4,naive_bayes,0.1,0.4,1,1
tic-tac-toe,Fold_4,naive_bayes,0.1,0.5,1,1
tic-tac-toe,Fold_4,naive_bayes,0.1,0.6,1,1
tic-tac-toe,Fold_4,naive_bayes,0.1,0.7,1,1
tic-tac-toe,Fold_4,naive_bayes,0.1,0.75,1,1
tic-tac-toe,Fold_4,naive_bayes,0.1,0.8,1,1
tic-tac-toe,Fold_4,naive_bayes,0.1,0.9,1,1
tic-tac-toe,Fold_4,naive_bayes,0.1,1,1,1
tic-tac-toe,Fold_4,naive_bayes,0.2,0.1,1,1
tic-tac-toe,Fold_4,naive_bayes,0.2,0.2,0.994791666666667,0.886255924170615
