dataset,fold,method,noise_levels,instance_level,accuracy,kappa
wilt,Fold_1,rfRules,0.2,1,0.984504132231405,0.761262742518909
wilt,Fold_1,rfRules,0.3,0.1,0.996900826446281,0.962238635181525
wilt,Fold_1,rfRules,0.3,0.2,0.990702479338843,0.894055842007977
wilt,Fold_1,rfRules,0.3,0.25,0.986570247933884,0.853305977804719
wilt,Fold_1,rfRules,0.3,0.3,0.983471074380165,0.821303304412037
wilt,Fold_1,rfRules,0.3,0.4,0.977272727272727,0.75429204356655
wilt,Fold_1,rfRules,0.3,0.5,0.973140495867769,0.721049831530413
wilt,Fold_1,rfRules,0.3,0.6,0.971074380165289,0.705391304347826
wilt,Fold_1,rfRules,0.3,0.7,0.965909090909091,0.662553874757036
wilt,Fold_1,rfRules,0.3,0.75,0.962809917355372,0.621217391304348
wilt,Fold_1,rfRules,0.3,0.8,0.959710743801653,0.593575058134527
wilt,Fold_1,rfRules,0.3,0.9,0.952479338842975,0.54249547920434
wilt,Fold_1,rfRules,0.3,1,0.947314049586777,0.488096225632518
wilt,Fold_2,rfRules,0.1,0.1,1,1
wilt,Fold_2,rfRules,0.1,0.2,0.997931747673216,0.943390703664676
wilt,Fold_2,rfRules,0.1,0.25,0.997931747673216,0.943390703664676
wilt,Fold_2,rfRules,0.1,0.3,0.997931747673216,0.943390703664676
wilt,Fold_2,rfRules,0.1,0.4,0.997931747673216,0.943390703664676
wilt,Fold_2,rfRules,0.1,0.5,0.996897621509824,0.912707248818945
wilt,Fold_2,rfRules,0.1,0.6,0.996897621509824,0.912707248818945
wilt,Fold_2,rfRules,0.1,0.7,0.995863495346432,0.886781407329352
wilt,Fold_2,rfRules,0.1,0.75,0.995863495346432,0.886781407329352
wilt,Fold_2,rfRules,0.1,0.8,0.995863495346432,0.886781407329352
wilt,Fold_2,rfRules,0.1,0.9,0.99482936918304,0.862231087049438
wilt,Fold_2,rfRules,0.1,1,0.993795243019648,0.830172110994028
wilt,Fold_2,rfRules,0.2,0.1,0.998965873836608,0.980600637952134
wilt,Fold_2,rfRules,0.2,0.2,0.996897621509824,0.941801913856401
wilt,Fold_2,rfRules,0.2,0.25,0.996897621509824,0.941801913856401
wilt,Fold_2,rfRules,0.2,0.3,0.996897621509824,0.941801913856401
wilt,Fold_2,rfRules,0.2,0.4,0.991726990692865,0.852888601528924
wilt,Fold_2,rfRules,0.2,0.5,0.990692864529473,0.831575484295474
wilt,Fold_2,rfRules,0.2,0.6,0.989658738366081,0.816110751911155
wilt,Fold_2,rfRules,0.2,0.7,0.989658738366081,0.816110751911155
wilt,Fold_2,rfRules,0.2,0.75,0.987590486039297,0.779332902293386
wilt,Fold_2,rfRules,0.2,0.8,0.987590486039297,0.779332902293386
wilt,Fold_2,rfRules,0.2,0.9,0.983453981385729,0.715650959347203
wilt,Fold_2,rfRules,0.2,1,0.979317476732161,0.666919261504546
wilt,Fold_2,rfRules,0.3,0.1,0.993795243019648,0.900024123789503
wilt,Fold_2,rfRules,0.3,0.2,0.986556359875905,0.793086988725208
wilt,Fold_2,rfRules,0.3,0.25,0.985522233712513,0.780448250137848
wilt,Fold_2,rfRules,0.3,0.3,0.984488107549121,0.768175933769119
wilt,Fold_2,rfRules,0.3,0.4,0.980351602895553,0.722449657839479
wilt,Fold_2,rfRules,0.3,0.5,0.977249224405377,0.682969718645684
wilt,Fold_2,rfRules,0.3,0.6,0.972078593588418,0.616106218111776
wilt,Fold_2,rfRules,0.3,0.7,0.966907962771458,0.562517672340665
wilt,Fold_2,rfRules,0.3,0.75,0.964839710444674,0.546797893750172
wilt,Fold_2,rfRules,0.3,0.8,0.963805584281282,0.539229166950295
wilt,Fold_2,rfRules,0.3,0.9,0.961737331954498,0.524638951997555
wilt,Fold_2,rfRules,0.3,1,0.958634953464323,0.504026260450325
wilt,Fold_3,rfRules,0.1,0.1,1,1
wilt,Fold_3,rfRules,0.1,0.2,0.997936016511868,0.946318763503407
wilt,Fold_3,rfRules,0.1,0.25,0.997936016511868,0.946318763503407
wilt,Fold_3,rfRules,0.1,0.3,0.997936016511868,0.946318763503407
wilt,Fold_3,rfRules,0.1,0.4,0.996904024767802,0.921506682867557
wilt,Fold_3,rfRules,0.1,0.5,0.99484004127967,0.875453073185779
wilt,Fold_3,rfRules,0.1,0.6,0.992776057791538,0.833615424240194
wilt,Fold_3,rfRules,0.1,0.7,0.989680082559339,0.777578845888995
wilt,Fold_3,rfRules,0.1,0.75,0.989680082559339,0.777578845888995
wilt,Fold_3,rfRules,0.1,0.8,0.988648090815273,0.749982407993808
wilt,Fold_3,rfRules,0.1,0.9,0.988648090815273,0.749982407993808
wilt,Fold_3,rfRules,0.1,1,0.987616099071207,0.721151079136691
wilt,Fold_3,rfRules,0.2,0.1,0.996904024767802,0.90165431848168
wilt,Fold_3,rfRules,0.2,0.2,0.996904024767802,0.90165431848168
wilt,Fold_3,rfRules,0.2,0.25,0.996904024767802,0.90165431848168
wilt,Fold_3,rfRules,0.2,0.3,0.996904024767802,0.90165431848168
wilt,Fold_3,rfRules,0.2,0.4,0.99484004127967,0.824970196163432
wilt,Fold_3,rfRules,0.2,0.5,0.99484004127967,0.824970196163432
wilt,Fold_3,rfRules,0.2,0.6,0.99484004127967,0.824970196163432
wilt,Fold_3,rfRules,0.2,0.7,0.993808049535604,0.78258918555082
wilt,Fold_3,rfRules,0.2,0.75,0.993808049535604,0.78258918555082
wilt,Fold_3,rfRules,0.2,0.8,0.991744066047472,0.710118914067759
wilt,Fold_3,rfRules,0.2,0.9,0.990712074303406,0.684946353094179
wilt,Fold_3,rfRules,0.2,1,0.989680082559339,0.637648642584695
wilt,Fold_3,rfRules,0.3,0.1,0.997936016511868,0.936454849498328
wilt,Fold_3,rfRules,0.3,0.2,0.99484004127967,0.854517611026034
wilt,Fold_3,rfRules,0.3,0.25,0.99484004127967,0.854517611026034
wilt,Fold_3,rfRules,0.3,0.3,0.99484004127967,0.854517611026034
wilt,Fold_3,rfRules,0.3,0.4,0.989680082559339,0.731638418079095
wilt,Fold_3,rfRules,0.3,0.5,0.989680082559339,0.731638418079095
wilt,Fold_3,rfRules,0.3,0.6,0.987616099071207,0.693822739480751
wilt,Fold_3,rfRules,0.3,0.7,0.985552115583075,0.642793196060876
wilt,Fold_3,rfRules,0.3,0.75,0.983488132094943,0.610921501706486
wilt,Fold_3,rfRules,0.3,0.8,0.980392156862745,0.526867627785058
wilt,Fold_3,rfRules,0.3,0.9,0.979360165118679,0.513651877133108
wilt,Fold_3,rfRules,0.3,1,0.978328173374613,0.501042100875365
wilt,Fold_4,rfRules,0.1,0.1,0.99896694214876,0.98060120240481
wilt,Fold_4,rfRules,0.1,0.2,0.997933884297521,0.96190176322418
wilt,Fold_4,rfRules,0.1,0.25,0.997933884297521,0.96190176322418
wilt,Fold_4,rfRules,0.1,0.3,0.997933884297521,0.96190176322418
wilt,Fold_4,rfRules,0.1,0.4,0.995867768595041,0.92645494605683
wilt,Fold_4,rfRules,0.1,0.5,0.995867768595041,0.92645494605683
wilt,Fold_4,rfRules,0.1,0.6,0.994834710743802,0.906440887651744
wilt,Fold_4,rfRules,0.1,0.7,0.994834710743802,0.906440887651744
wilt,Fold_4,rfRules,0.1,0.75,0.993801652892562,0.889682419085245
wilt,Fold_4,rfRules,0.1,0.8,0.993801652892562,0.889682419085245
wilt,Fold_4,rfRules,0.1,0.9,0.991735537190083,0.852909892113661
wilt,Fold_4,rfRules,0.1,1,0.990702479338843,0.837353446344559
wilt,Fold_4,rfRules,0.2,0.1,0.996900826446281,0.928648648648648
wilt,Fold_4,rfRules,0.2,0.2,0.995867768595041,0.906981213664537
wilt,Fold_4,rfRules,0.2,0.25,0.992768595041322,0.84740113503288
wilt,Fold_4,rfRules,0.2,0.3,0.990702479338843,0.803801459327987
wilt,Fold_4,rfRules,0.2,0.4,0.985537190082645,0.723620345066689
wilt,Fold_4,rfRules,0.2,0.5,0.982438016528926,0.682390179881108
wilt,Fold_4,rfRules,0.2,0.6,0.982438016528926,0.682390179881108
wilt,Fold_4,rfRules,0.2,0.7,0.980371900826446,0.645024318690651
wilt,Fold_4,rfRules,0.2,0.75,0.979338842975207,0.63290227160681
wilt,Fold_4,rfRules,0.2,0.8,0.979338842975207,0.63290227160681
wilt,Fold_4,rfRules,0.2,0.9,0.977272727272727,0.596192498767492
wilt,Fold_4,rfRules,0.2,1,0.975206611570248,0.574427550833485
wilt,Fold_4,rfRules,0.3,0.1,0.997933884297521,0.915627996164907
wilt,Fold_4,rfRules,0.3,0.2,0.997933884297521,0.915627996164907
wilt,Fold_4,rfRules,0.3,0.25,0.996900826446281,0.878453038674032
wilt,Fold_4,rfRules,0.3,0.3,0.995867768595041,0.844109831709478
wilt,Fold_4,rfRules,0.3,0.4,0.995867768595041,0.844109831709478
wilt,Fold_4,rfRules,0.3,0.5,0.993801652892562,0.782716049382715
wilt,Fold_4,rfRules,0.3,0.6,0.993801652892562,0.782716049382715
wilt,Fold_4,rfRules,0.3,0.7,0.990702479338843,0.685214626391096
wilt,Fold_4,rfRules,0.3,0.75,0.990702479338843,0.685214626391096
wilt,Fold_4,rfRules,0.3,0.8,0.989669421487603,0.661798616448885
wilt,Fold_4,rfRules,0.3,0.9,0.987603305785124,0.619322278298489
wilt,Fold_4,rfRules,0.3,1,0.986570247933884,0.599999999999997
wilt,Fold_5,rfRules,0.1,0.1,1,1
wilt,Fold_5,rfRules,0.1,0.2,1,1
wilt,Fold_5,rfRules,0.1,0.25,1,1
wilt,Fold_5,rfRules,0.1,0.3,1,1
wilt,Fold_5,rfRules,0.1,0.4,1,1
wilt,Fold_5,rfRules,0.1,0.5,1,1
wilt,Fold_5,rfRules,0.1,0.6,1,1
wilt,Fold_5,rfRules,0.1,0.7,1,1
wilt,Fold_5,rfRules,0.1,0.75,1,1
wilt,Fold_5,rfRules,0.1,0.8,1,1
wilt,Fold_5,rfRules,0.1,0.9,1,1
wilt,Fold_5,rfRules,0.1,1,1,1
wilt,Fold_5,rfRules,0.2,0.1,0.99482936918304,0.906438067225265
wilt,Fold_5,rfRules,0.2,0.2,0.991726990692865,0.857851604130682
wilt,Fold_5,rfRules,0.2,0.25,0.990692864529473,0.842727289155538
wilt,Fold_5,rfRules,0.2,0.3,0.989658738366081,0.828095001066628
wilt,Fold_5,rfRules,0.2,0.4,0.988624612202689,0.807777797856768
wilt,Fold_5,rfRules,0.2,0.5,0.985522233712513,0.766915739816122
wilt,Fold_5,rfRules,0.2,0.6,0.984488107549121,0.754140041019035
wilt,Fold_5,rfRules,0.2,0.7,0.982419855222337,0.729741726535913
wilt,Fold_5,rfRules,0.2,0.75,0.98138572905894506,0.718084934080529
wilt,Fold_5,rfRules,0.2,0.8,0.980351602895553,0.706768597283623
wilt,Fold_5,rfRules,0.2,0.9,0.979317476732161,0.686761037867254
wilt,Fold_5,rfRules,0.2,1,0.978283350568769,0.675902133839794
wilt,Fold_5,rfRules,0.3,0.1,0.997931747673216,0.898965625326507
wilt,Fold_5,rfRules,0.3,0.2,0.995863495346432,0.81615969581749
wilt,Fold_5,rfRules,0.3,0.25,0.995863495346432,0.81615969581749
wilt,Fold_5,rfRules,0.3,0.3,0.99482936918304,0.780117331392969
wilt,Fold_5,rfRules,0.3,0.4,0.99482936918304,0.780117331392969
wilt,Fold_5,rfRules,0.3,0.5,0.993795243019648,0.747057284854827
wilt,Fold_5,rfRules,0.3,0.6,0.993795243019648,0.747057284854827
wilt,Fold_5,rfRules,0.3,0.7,0.992761116856256,0.716624105161803
wilt,Fold_5,rfRules,0.3,0.75,0.992761116856256,0.716624105161803
wilt,Fold_5,rfRules,0.3,0.8,0.991726990692865,0.688516669350942
wilt,Fold_5,rfRules,0.3,0.9,0.989658738366081,0.638288321986982
wilt,Fold_5,rfRules,0.3,1,0.989658738366081,0.638288321986982
wilt,Fold_1,rpart,0.1,0.1,0.997933884297521,0.976694915254237
wilt,Fold_1,rpart,0.1,0.2,0.996900826446281,0.965408805031446
wilt,Fold_1,rpart,0.1,0.25,0.994834710743802,0.941113490364026
wilt,Fold_1,rpart,0.1,0.3,0.993801652892562,0.930084745762711
wilt,Fold_1,rpart,0.1,0.4,0.992768595041322,0.919287211740042
wilt,Fold_1,rpart,0.1,0.5,0.991735537190083,0.908713692946058
wilt,Fold_1,rpart,0.1,0.6,0.989669421487603,0.888211382113821
wilt,Fold_1,rpart,0.1,0.7,0.988636363636364,0.878269617706237
wilt,Fold_1,rpart,0.1,0.75,0.987603305785124,0.868525896414343
wilt,Fold_1,rpart,0.1,0.8,0.986570247933884,0.858974358974359
wilt,Fold_1,rpart,0.1,0.9,0.983471074380165,0.828125000000001
wilt,Fold_1,rpart,0.1,1,0.981404958677686,0.806640625
wilt,Fold_1,rpart,0.2,0.1,0.990702479338843,0.89835728952772
wilt,Fold_1,rpart,0.2,0.2,0.981404958677686,0.81390977443609
wilt,Fold_1,rpart,0.2,0.25,0.976239669421488,0.76873857404022
wilt,Fold_1,rpart,0.2,0.3,0.973140495867769,0.745551601423488
wilt,Fold_1,rpart,0.2,0.4,0.965909090909091,0.695979899497488
wilt,Fold_1,rpart,0.2,0.5,0.963842975206612,0.677554438860971
wilt,Fold_1,rpart,0.2,0.6,0.956611570247934,0.628617363344051
wilt,Fold_1,rpart,0.2,0.7,0.952479338842975,0.605919003115264
wilt,Fold_1,rpart,0.2,0.75,0.948347107438017,0.584592145015106
wilt,Fold_1,rpart,0.2,0.8,0.947314049586777,0.579460269865068
wilt,Fold_1,rpart,0.2,0.9,0.942148760330578,0.548387096774193
wilt,Fold_1,rpart,0.2,1,0.93801652892562,0.508928571428571
wilt,Fold_1,rpart,0.3,0.1,0.992768595041322,0.920944558521561
wilt,Fold_1,rpart,0.3,0.2,0.979338842975207,0.797047970479704
wilt,Fold_1,rpart,0.3,0.25,0.972107438016529,0.738095238095237
wilt,Fold_1,rpart,0.3,0.3,0.96900826446281,0.716494845360825
wilt,Fold_1,rpart,0.3,0.4,0.961776859504132,0.664744645799012
wilt,Fold_1,rpart,0.3,0.5,0.949380165289256,0.583462132921174
wilt,Fold_1,rpart,0.3,0.6,0.945247933884298,0.556316590563165
wilt,Fold_1,rpart,0.3,0.7,0.935950413223141,0.5
wilt,Fold_1,rpart,0.3,0.75,0.928719008264463,0.463224893917963
wilt,Fold_1,rpart,0.3,0.8,0.923553719008264,0.436288088642659
wilt,Fold_1,rpart,0.3,0.9,0.915289256198347,0.392183288409703
wilt,Fold_1,rpart,0.3,1,0.901859504132231,0.344416562107904
wilt,Fold_2,rpart,0.1,0.1,0.996897621509824,0.94921840810825
wilt,Fold_2,rpart,0.1,0.2,0.995863495346432,0.931201309096083
wilt,Fold_2,rpart,0.1,0.25,0.995863495346432,0.931201309096083
wilt,Fold_2,rpart,0.1,0.3,0.995863495346432,0.931201309096083
wilt,Fold_2,rpart,0.1,0.4,0.995863495346432,0.931201309096083
wilt,Fold_2,rpart,0.1,0.5,0.995863495346432,0.931201309096083
wilt,Fold_2,rpart,0.1,0.6,0.99482936918304,0.91536401351375
wilt,Fold_2,rpart,0.1,0.7,0.992761116856256,0.88514854845004
wilt,Fold_2,rpart,0.1,0.75,0.992761116856256,0.88514854845004
wilt,Fold_2,rpart,0.1,0.8,0.992761116856256,0.88514854845004
wilt,Fold_2,rpart,0.1,0.9,0.992761116856256,0.88514854845004
wilt,Fold_2,rpart,0.1,1,0.991726990692865,0.86669423766198
wilt,Fold_2,rpart,0.2,0.1,0.992761116856256,0.891794683248877
wilt,Fold_2,rpart,0.2,0.2,0.986556359875905,0.810039741904287
wilt,Fold_2,rpart,0.2,0.25,0.98138572905894506,0.747343668350461
wilt,Fold_2,rpart,0.2,0.3,0.979317476732161,0.726457525954004
wilt,Fold_2,rpart,0.2,0.4,0.976215098241985,0.697059264203113
wilt,Fold_2,rpart,0.2,0.5,0.968976215098242,0.618951295119003
wilt,Fold_2,rpart,0.2,0.6,0.963805584281282,0.580383599687566
wilt,Fold_2,rpart,0.2,0.7,0.958634953464323,0.545913455894437
wilt,Fold_2,rpart,0.2,0.75,0.956566701137539,0.533129483170867
wilt,Fold_2,rpart,0.2,0.8,0.954498448810755,0.520866647147588
wilt,Fold_2,rpart,0.2,0.9,0.945191313340228,0.461292662160884
wilt,Fold_2,rpart,0.2,1,0.94105480868666,0.431452236789174
wilt,Fold_2,rpart,0.3,0.1,0.992761116856256,0.888570629002255
wilt,Fold_2,rpart,0.3,0.2,0.982419855222337,0.751590431720991
wilt,Fold_2,rpart,0.3,0.25,0.976215098241985,0.672863929868945
wilt,Fold_2,rpart,0.3,0.3,0.972078593588418,0.635384808747747
wilt,Fold_2,rpart,0.3,0.4,0.965873836608066,0.565345900813163
wilt,Fold_2,rpart,0.3,0.5,0.957600827300931,0.472968482060963
wilt,Fold_2,rpart,0.3,0.6,0.953464322647363,0.448108361763923
wilt,Fold_2,rpart,0.3,0.7,0.940020682523268,0.368415125785456
wilt,Fold_2,rpart,0.3,0.75,0.9358841778697,0.351301638138106
wilt,Fold_2,rpart,0.3,0.8,0.929679420889349,0.32800555941626103
wilt,Fold_2,rpart,0.3,0.9,0.918304033092037,0.266770326432281
wilt,Fold_2,rpart,0.3,1,0.90899689762151,0.230053744955755
wilt,Fold_3,rpart,0.1,0.1,1,1
wilt,Fold_3,rpart,0.1,0.2,0.998968008255934,0.985765281389096
wilt,Fold_3,rpart,0.1,0.25,0.997936016511868,0.971151269760934
wilt,Fold_3,rpart,0.1,0.3,0.995872033023736,0.942302539521868
wilt,Fold_3,rpart,0.1,0.4,0.992776057791538,0.900356969723679
wilt,Fold_3,rpart,0.1,0.5,0.992776057791538,0.900356969723679
wilt,Fold_3,rpart,0.1,0.6,0.990712074303406,0.875169975523525
wilt,Fold_3,rpart,0.1,0.7,0.989680082559339,0.859500057997912
wilt,Fold_3,rpart,0.1,0.75,0.989680082559339,0.859500057997912
wilt,Fold_3,rpart,0.1,0.8,0.989680082559339,0.859500057997912
wilt,Fold_3,rpart,0.1,0.9,0.989680082559339,0.859500057997912
wilt,Fold_3,rpart,0.1,1,0.987616099071207,0.831400069597494
wilt,Fold_3,rpart,0.2,0.1,0.997936016511868,0.972610870855593
wilt,Fold_3,rpart,0.2,0.2,0.986584107327141,0.836451449567013
wilt,Fold_3,rpart,0.2,0.25,0.985552115583075,0.821800126103404
wilt,Fold_3,rpart,0.2,0.3,0.982456140350877,0.786128818664554
wilt,Fold_3,rpart,0.2,0.4,0.975232198142415,0.708235057961561
wilt,Fold_3,rpart,0.2,0.5,0.971104231166151,0.674238785899529
wilt,Fold_3,rpart,0.2,0.6,0.968008255933953,0.643170236270982
wilt,Fold_3,rpart,0.2,0.7,0.964912280701754,0.620734908136483
wilt,Fold_3,rpart,0.2,0.75,0.959752321981424,0.578004086965261
wilt,Fold_3,rpart,0.2,0.8,0.956656346749226,0.550039801875111
wilt,Fold_3,rpart,0.2,0.9,0.95046439628483,0.495739283158785
wilt,Fold_3,rpart,0.2,1,0.947368421052632,0.469371758667712
wilt,Fold_3,rpart,0.3,0.1,0.984520123839009,0.819671724377505
wilt,Fold_3,rpart,0.3,0.2,0.972136222910217,0.707848983283642
wilt,Fold_3,rpart,0.3,0.25,0.970072239422085,0.692357378233691
wilt,Fold_3,rpart,0.3,0.3,0.96078431372549,0.615708948214323
wilt,Fold_3,rpart,0.3,0.4,0.943240454076367,0.504015709193787
wilt,Fold_3,rpart,0.3,0.5,0.938080495356037,0.472116798924985
wilt,Fold_3,rpart,0.3,0.6,0.927760577915377,0.421729270746304
wilt,Fold_3,rpart,0.3,0.7,0.918472652218782,0.371363110049026
wilt,Fold_3,rpart,0.3,0.75,0.910216718266254,0.346148774945126
wilt,Fold_3,rpart,0.3,0.8,0.905056759545924,0.322676229695027
wilt,Fold_3,rpart,0.3,0.9,0.892672858617131,0.283080075123783
wilt,Fold_3,rpart,0.3,1,0.879256965944272,0.255119807099729
wilt,Fold_4,rpart,0.1,0.1,0.995867768595041,0.93726303509511
wilt,Fold_4,rpart,0.1,0.2,0.995867768595041,0.93726303509511
wilt,Fold_4,rpart,0.1,0.25,0.995867768595041,0.93726303509511
wilt,Fold_4,rpart,0.1,0.3,0.993801652892562,0.908578624271997
wilt,Fold_4,rpart,0.1,0.4,0.993801652892562,0.908578624271997
wilt,Fold_4,rpart,0.1,0.5,0.992768595041322,0.891798671435871
wilt,Fold_4,rpart,0.1,0.6,0.991735537190083,0.87452607019022
wilt,Fold_4,rpart,0.1,0.7,0.990702479338843,0.860884006131834
wilt,Fold_4,rpart,0.1,0.75,0.990702479338843,0.860884006131834
wilt,Fold_4,rpart,0.1,0.8,0.990702479338843,0.860884006131834
wilt,Fold_4,rpart,0.1,0.9,0.989669421487603,0.847631040453329
wilt,Fold_4,rpart,0.1,1,0.987603305785124,0.817157248543995
wilt,Fold_4,rpart,0.2,0.1,0.993801652892562,0.903048108703635
wilt,Fold_4,rpart,0.2,0.2,0.989669421487603,0.843157587737775
wilt,Fold_4,rpart,0.2,0.25,0.984504132231405,0.780823572032363
wilt,Fold_4,rpart,0.2,0.3,0.982438016528926,0.758213341169556
wilt,Fold_4,rpart,0.2,0.4,0.979338842975207,0.719281965026244
wilt,Fold_4,rpart,0.2,0.5,0.975206611570248,0.663138358031493
wilt,Fold_4,rpart,0.2,0.6,0.964876033057851,0.568163329571994
wilt,Fold_4,rpart,0.2,0.7,0.958677685950413,0.515017911270323
wilt,Fold_4,rpart,0.2,0.75,0.957644628099174,0.508471217675617
wilt,Fold_4,rpart,0.2,0.8,0.954545454545455,0.478358848744643
wilt,Fold_4,rpart,0.2,0.9,0.950413223140496,0.455121138916904
wilt,Fold_4,rpart,0.2,1,0.947314049586777,0.427152471571131
wilt,Fold_4,rpart,0.3,0.1,0.989669421487603,0.851856386397722
wilt,Fold_4,rpart,0.3,0.2,0.981404958677686,0.75996693759471
wilt,Fold_4,rpart,0.3,0.25,0.978305785123967,0.73006851861688
wilt,Fold_4,rpart,0.3,0.3,0.976239669421488,0.71130705394191
wilt,Fold_4,rpart,0.3,0.4,0.97004132231405,0.652333300307144
wilt,Fold_4,rpart,0.3,0.5,0.965909090909091,0.621373032429358
wilt,Fold_4,rpart,0.3,0.6,0.954545454545455,0.53965543330235
wilt,Fold_4,rpart,0.3,0.7,0.947314049586777,0.500647353940768
wilt,Fold_4,rpart,0.3,0.75,0.944214876033058,0.485420645389931
wilt,Fold_4,rpart,0.3,0.8,0.939049586776859,0.442744516431191
wilt,Fold_4,rpart,0.3,0.9,0.931818181818182,0.403016315012427
wilt,Fold_4,rpart,0.3,1,0.922520661157025,0.34915910639366
wilt,Fold_5,rpart,0.1,0.1,0.995863495346432,0.954354496105735
wilt,Fold_5,rpart,0.1,0.2,0.992761116856256,0.919283099414507
wilt,Fold_5,rpart,0.1,0.25,0.988624612202689,0.878263158497087
wilt,Fold_5,rpart,0.1,0.3,0.985522233712513,0.849601173150843
wilt,Fold_5,rpart,0.1,0.4,0.984488107549121,0.840416753765416
wilt,Fold_5,rpart,0.1,0.5,0.979317476732161,0.797036352951053
wilt,Fold_5,rpart,0.1,0.6,0.976215098241985,0.768725238387388
wilt,Fold_5,rpart,0.1,0.7,0.972078593588418,0.738079712689224
wilt,Fold_5,rpart,0.1,0.75,0.971044467425026,0.730753167200334
wilt,Fold_5,rpart,0.1,0.8,0.971044467425026,0.730753167200334
wilt,Fold_5,rpart,0.1,0.9,0.965873836608066,0.685423053794816
wilt,Fold_5,rpart,0.1,1,0.961737331954498,0.653300904078527
wilt,Fold_5,rpart,0.2,0.1,0.991726990692865,0.910564406113436
wilt,Fold_5,rpart,0.2,0.2,0.983453981385729,0.831408272675761
wilt,Fold_5,rpart,0.2,0.25,0.980351602895553,0.805389316696501
wilt,Fold_5,rpart,0.2,0.3,0.97311271975181,0.74553661795069
wilt,Fold_5,rpart,0.2,0.4,0.965873836608066,0.695961203159389
wilt,Fold_5,rpart,0.2,0.5,0.954498448810755,0.617064170641706
wilt,Fold_5,rpart,0.2,0.6,0.946225439503619,0.567947484190267
wilt,Fold_5,rpart,0.2,0.7,0.936918304033092,0.52542741059576
wilt,Fold_5,rpart,0.2,0.75,0.933815925542916,0.51243185327577
wilt,Fold_5,rpart,0.2,0.8,0.929679420889349,0.495921746596345
wilt,Fold_5,rpart,0.2,0.9,0.919338159255429,0.444261063055363
wilt,Fold_5,rpart,0.2,1,0.90899689762151,0.403897614077364
wilt,Fold_5,rpart,0.3,0.1,0.990692864529473,0.902361586357772
wilt,Fold_5,rpart,0.3,0.2,0.985522233712513,0.852482238591291
wilt,Fold_5,rpart,0.3,0.25,0.978283350568769,0.792627010467194
wilt,Fold_5,rpart,0.3,0.3,0.972078593588418,0.742618862195759
wilt,Fold_5,rpart,0.3,0.4,0.956566701137539,0.645682480414566
wilt,Fold_5,rpart,0.3,0.5,0.934850051706308,0.53611214754011
wilt,Fold_5,rpart,0.3,0.6,0.928645294725957,0.498643723935831
wilt,Fold_5,rpart,0.3,0.7,0.913133402275078,0.444670814247625
wilt,Fold_5,rpart,0.3,0.75,0.902792140641158,0.413788211015091
wilt,Fold_5,rpart,0.3,0.8,0.895553257497415,0.387494904518516
wilt,Fold_5,rpart,0.3,0.9,0.882109617373319,0.334343751509588
wilt,Fold_5,rpart,0.3,1,0.866597724922441,0.302304900079981
wilt,Fold_1,simpls,0.1,0.1,1,1
wilt,Fold_1,simpls,0.1,0.2,1,1
wilt,Fold_1,simpls,0.1,0.25,1,1
wilt,Fold_1,simpls,0.1,0.3,1,1
wilt,Fold_1,simpls,0.1,0.4,1,1
wilt,Fold_1,simpls,0.1,0.5,1,1
wilt,Fold_1,simpls,0.1,0.6,1,1
wilt,Fold_1,simpls,0.1,0.7,1,1
wilt,Fold_1,simpls,0.1,0.75,1,1
wilt,Fold_1,simpls,0.1,0.8,1,1
wilt,Fold_1,simpls,0.1,0.9,1,1
wilt,Fold_1,simpls,0.1,1,1,1
wilt,Fold_1,simpls,0.2,0.1,1,1
wilt,Fold_1,simpls,0.2,0.2,1,1
wilt,Fold_1,simpls,0.2,0.25,1,1
wilt,Fold_1,simpls,0.2,0.3,1,1
wilt,Fold_1,simpls,0.2,0.4,1,1
wilt,Fold_1,simpls,0.2,0.5,1,1
wilt,Fold_1,simpls,0.2,0.6,1,1
wilt,Fold_1,simpls,0.2,0.7,1,1
wilt,Fold_1,simpls,0.2,0.75,1,1
wilt,Fold_1,simpls,0.2,0.8,1,1
wilt,Fold_1,simpls,0.2,0.9,1,1
wilt,Fold_1,simpls,0.2,1,1,1
wilt,Fold_1,simpls,0.3,0.1,1,1
wilt,Fold_1,simpls,0.3,0.2,1,1
wilt,Fold_1,simpls,0.3,0.25,1,1
wilt,Fold_1,simpls,0.3,0.3,1,1
wilt,Fold_1,simpls,0.3,0.4,1,1
wilt,Fold_1,simpls,0.3,0.5,1,1
wilt,Fold_1,simpls,0.3,0.6,1,1
wilt,Fold_1,simpls,0.3,0.7,1,1
wilt,Fold_1,simpls,0.3,0.75,1,1
wilt,Fold_1,simpls,0.3,0.8,1,1
wilt,Fold_1,simpls,0.3,0.9,1,1
wilt,Fold_1,simpls,0.3,1,1,1
wilt,Fold_2,simpls,0.1,0.1,1,1
wilt,Fold_2,simpls,0.1,0.2,1,1
wilt,Fold_2,simpls,0.1,0.25,1,1
wilt,Fold_2,simpls,0.1,0.3,1,1
wilt,Fold_2,simpls,0.1,0.4,1,1
wilt,Fold_2,simpls,0.1,0.5,1,1
wilt,Fold_2,simpls,0.1,0.6,1,1
wilt,Fold_2,simpls,0.1,0.7,1,1
wilt,Fold_2,simpls,0.1,0.75,1,1
wilt,Fold_2,simpls,0.1,0.8,1,1
wilt,Fold_2,simpls,0.1,0.9,1,1
wilt,Fold_2,simpls,0.1,1,1,1
